name,emoji,category
Soccer,⚽,SPORT
Basketball,🏀,SPORT
Tennis,🎾,SPORT
Volleyball,🏐,SPORT
Baseball,⚾,SPORT
Softball,🥎,SPORT
Running,🏃,SPORT
Swimming,🏊,SPORT
Biking,🚴,SPORT
Yoga,🧘,WELLNESS
Group Hiking,🥾,OUTDOOR
Rock Climbing,🧗,OUTDOOR
Dancing,💃,WELLNESS
Gym,🏋️,WELLNESS
Skating,⛸️,SPORT
Bowling,🎳,GAME
Golf,🏌️,SPORT
Mini Golf,🏌️‍♂️,GAME
Crocheting,🧶,CREATIVE
Knitting Circle,🧵,CREATIVE
Art Jam / Painting,🎨,CREATIVE
Cooking Party,🍳,CREATIVE
Baking Party,🧁,CREATIVE
Gardening Club,🌱,OUTDOOR
Photography Walk,📷,CREATIVE
Book Club,📚,SOCIAL
Writing Workshop,📝,CREATIVE
Karaoke,🎤,SOCIAL
Music Jam,🎸,CREATIVE
Board Games,♟️,GAME
Card Games,🃏,GAME
Dungeons & Dragons,🐉,GAME
Pathfinder,🛡️,GAME
Call of Cthulhu,👁️,GAME
Tabletop RPGs,🎲,GAME
Promenading / Walking,🚶,OUTDOOR
Meditation Circle,🧘‍♂️,WELLNESS
Fishing Trip,🎣,OUTDOOR
Movie Night,🎬,INDOOR
Camping Trip,🏕️,OUTDOOR
Traveling,✈️,SOCIAL
Beach Day,🏖️,OUTDOOR
Picnic,🧺,OUTDOOR
Puzzle Night,🧩,GAME
Escape Room,🔐,GAME
Potluck Dinner,🍲,SOCIAL
Trivia Night,❓,GAME
Paintball,🔫,OUTDOOR
Laser Tag,🔫,GAME
Archery Tag,🏹,OUTDOOR
Scavenger Hunt,🗺️,GAME
Amusement Park Visit,🎡,OUTDOOR
Kite Flying,🪁,OUTDOOR
Team Building Games,🤝,SOCIAL
