user_id,activity_id,description,day_of_week,participants_needed
1,1,Quien para un futbol 5?,SATURDAY,5
2,1,Quien para un futbol 5?,SATURDAY,5
3,1,Quien para un futbol 5?,SATURDAY,5
4,1,Quien para un futbol 5?,SATURDAY,5
5,1,Quien para un futbol 5?,SATURDAY,5
7,30,sale un focking catan???,SUNDAY,4
8,30,sale un focking catan???,SUNDAY,3
9,30,sale un focking catan???,SUNDAY,5
10,30,sale un focking catan???,SUNDAY,3
11,30,sale un focking catan??? con vermu porfa,SUNDAY,4
1,2,Quien para un basquet ?,SATURDAY,3
2,2,Quien para un basquet ?,SATURDAY,4
6,2,Quien para un basquet ?,SATURDAY,6
7,53,AGUANTE VOLAR BARRILETES POR CAPITAL,FRIDAY,4
8,53,AGUANTE VOLAR BARRILETES POR CAPITAL,MONDAY,3
9,53,AGUANTE VOLAR BARRILETES POR CAPITAL,FRIDAY,5
10,53,AGUANTE VOLAR BARRILETES POR CAPITAL,SUNDAY,3
11,53,AGUANTE VOLAR BARRILETES POR CAPITAL con vermu porfa,WEDNESDAY,4
